3/15/2021 22:47,Yakuza Kiwami 2,Life Skills Master,Bronze
3/16/2021 0:10,Yakuza Kiwami 2,Limit Breaker,Bronze
3/16/2021 4:09,Yakuza Kiwami 2,An Eye for Talent,Bronze
3/16/2021 4:09,Yakuza Kiwami 2,Legends of the Nightlife,Bronze
3/16/2021 10:11,Yakuza Kiwami 2,Be True to Yourself,Bronze
3/18/2021 3:08,Yakuza Kiwami 2,"Demon, Killer, Father",Bronze
3/18/2021 6:01,Yakuza Kiwami 2,Majima Construction Foreman,Bronze
3/18/2021 6:19,Yakuza Kiwami 2,Majima Construction Benefits,Bronze
3/20/2021 5:40,Yakuza Kiwami 2,Let's Build Some Hills,Bronze
3/20/2021 7:55,Yakuza Kiwami 2,There Can Only Be One Dragon,Bronze
3/20/2021 10:17,Yakuza Kiwami 2,What a Player,Bronze
3/20/2021 10:55,Yakuza Kiwami 2,Peak Kiryu,Silver
3/21/2021 21:53,Yakuza Kiwami 2,A Taste for Japan,Bronze
3/22/2021 7:01,Yakuza Kiwami 2,Movie Buff,Bronze
3/22/2021 7:28,Yakuza Kiwami 2,Opening Up a Can,Bronze
3/22/2021 7:39,Yakuza Kiwami 2,Dragon's Blood,Bronze
3/22/2021 8:49,Yakuza Kiwami 2,Thank You!,Silver
3/22/2021 21:07,Yakuza Kiwami 2,Weapon Master,Silver
3/23/2021 2:07,Yakuza Kiwami 2,Amon Defeated,Silver
3/23/2021 2:07,Yakuza Kiwami 2,Story of My Life,Silver
3/23/2021 4:06,Yakuza Kiwami 2,You're Not Welcome,Bronze
3/23/2021 4:23,Yakuza Kiwami 2,"Half Performance, Half Raw Power",Bronze
3/23/2021 4:37,Yakuza Kiwami 2,All Done,Silver
3/23/2021 4:37,Yakuza Kiwami 2,Coin Locker Conqueror,Bronze
3/23/2021 4:46,Yakuza Kiwami 2,For the Children,Bronze
3/23/2021 6:12,Yakuza Kiwami 2,Champion of the City,Bronze
3/23/2021 6:13,Yakuza Kiwami 2,Battle Skills Master,Bronze
3/23/2021 6:15,Yakuza Kiwami 2,Skill Master,Silver
3/23/2021 6:15,Yakuza Kiwami 2,Heat Action Master,Bronze
3/23/2021 6:16,Yakuza Kiwami 2,Tourist Season,Bronze
3/23/2021 7:52,Yakuza Kiwami 2,The Majima Factor,Bronze
3/26/2021 3:11,KINGDOM HEARTS FINAL MIX,Test Pilot,Bronze
3/26/2021 4:29,KINGDOM HEARTS FINAL MIX,The Rabbit Hole,Bronze
3/26/2021 6:19,KINGDOM HEARTS FINAL MIX,Member of the Tribe,Bronze
3/26/2021 6:40,KINGDOM HEARTS FINAL MIX,Veteran Pilot,Bronze
3/26/2021 7:35,KINGDOM HEARTS FINAL MIX,Where the Bells Toll,Bronze
3/28/2021 3:32,KINGDOM HEARTS FINAL MIX,Magic Lamp,Bronze
3/28/2021 4:14,KINGDOM HEARTS FINAL MIX,Customizer,Bronze
3/28/2021 4:44,KINGDOM HEARTS FINAL MIX,Novice Hero,Bronze
3/28/2021 6:57,KINGDOM HEARTS FINAL MIX,Honest Soul,Bronze
3/28/2021 7:15,KINGDOM HEARTS FINAL MIX,First Synthesis,Bronze
3/28/2021 7:15,KINGDOM HEARTS FINAL MIX,Synthesis Novice,Bronze
3/28/2021 7:24,KINGDOM HEARTS FINAL MIX,Heartless Hunter,Bronze
3/28/2021 8:58,KINGDOM HEARTS FINAL MIX,Master of the Seas,Bronze
3/28/2021 9:31,KINGDOM HEARTS FINAL MIX,From Rags to Riches,Bronze
3/28/2021 10:01,KINGDOM HEARTS FINAL MIX,Pumpkin Prince,Bronze
3/28/2021 10:27,KINGDOM HEARTS FINAL MIX,Treasure Hunter,Bronze
3/29/2021 5:31,KINGDOM HEARTS FINAL MIX,Pixie Dust,Bronze
3/29/2021 6:58,KINGDOM HEARTS FINAL MIX,Ace Pilot,Bronze
3/29/2021 7:47,KINGDOM HEARTS FINAL MIX,Flying Ace,Bronze
3/30/2021 13:26,KINGDOM HEARTS FINAL MIX,Artisan Hero,Bronze
3/31/2021 7:58,KINGDOM HEARTS FINAL MIX,Gummi Ship Collector,Bronze
3/31/2021 8:34,KINGDOM HEARTS FINAL MIX,Hero of the Coliseum,Bronze
3/31/2021 8:36,KINGDOM HEARTS FINAL MIX,Junior Hero,Bronze
3/31/2021 9:55,KINGDOM HEARTS FINAL MIX,Pooh's Friend,Bronze
3/31/2021 12:24,KINGDOM HEARTS FINAL MIX,Oathkeeper,Bronze
3/31/2021 13:10,KINGDOM HEARTS FINAL MIX,End of the World,Bronze
3/31/2021 13:12,KINGDOM HEARTS FINAL MIX,Top Gun,Bronze
3/31/2021 14:41,KINGDOM HEARTS FINAL MIX,Novice Player,Bronze
